country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Maldives,43,29,31,33,36,,,,,NULL,NULL
Mali,30,29,32,31,32,35,32,28,34,NULL,NULL
Malta,53,54,54,56,55,60,55,56,57,NULL,NULL
Mauritania,29,28,27,28,27,31,30,30,31,NULL,NULL
Mauritius,53,52,51,50,54,53,54,52,57,NULL,NULL
Mexico,31,29,28,29,30,31,35,34,34,NULL,NULL
Moldova,34,32,33,31,30,33,35,35,36,NULL,NULL
Mongolia,35,35,37,36,38,39,39,38,36,NULL,NULL
Montenegro,45,45,45,46,45,44,42,44,41,NULL,NULL
Morocco,40,41,43,40,37,36,39,37,37,NULL,NULL
Mozambique,25,26,23,25,27,31,31,30,31,NULL,NULL
Myanmar,28,29,29,30,28,22,21,21,15,NULL,NULL
Namibia,51,52,53,51,52,53,49,48,48,NULL,NULL
Nepal,33,34,31,31,29,27,29,31,27,NULL,NULL
Netherlands,82,82,82,82,83,84,83,83,84,NULL,NULL
New Zealand,88,87,87,89,90,91,91,91,90,NULL,NULL
Nicaragua,22,22,25,26,26,27,28,28,29,NULL,NULL
Niger,32,32,34,33,35,34,35,34,33,NULL,NULL
Nigeria,25,26,27,27,28,26,27,25,27,NULL,NULL
North Macedonia,35,35,37,35,37,42,45,44,43,NULL,NULL
Norway,84,84,84,85,85,88,86,86,85,NULL,NULL
Oman,54,52,52,44,45,45,45,47,47,NULL,NULL
Pakistan,31,32,33,32,32,30,29,28,27,NULL,NULL
Panama,35,36,37,37,38,39,37,35,38,NULL,NULL
Papua New Guinea,27,28,28,29,28,25,25,25,25,NULL,NULL
Paraguay,28,28,29,29,30,27,24,24,25,NULL,NULL
Peru,38,36,35,37,35,36,38,38,38,NULL,NULL
Philippines,34,34,36,34,35,35,38,36,34,NULL,NULL
Poland,56,58,60,60,62,63,61,60,58,NULL,NULL
Portugal,61,62,64,63,62,64,63,62,63,NULL,NULL
Qatar,63,62,62,63,61,71,69,68,68,NULL,NULL
Romania,44,44,47,48,48,46,43,43,44,NULL,NULL
