Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Congo, Dem. Rep.",-2.196742,-2.212989,-2.085893,-2.192191,-2.167921,-2.150854,-2.234622,-2.302249,-2.105781,-1.593899,-1.708182
"Congo, Rep.",-0.3164158,-0.3543004,-0.4896899,-0.4750501,-0.3592916,-0.526366,-0.5192695,-0.531724,-0.3484042,-0.8969635,-0.8958732
Cook Islands,1.322361,..,..,..,..,..,..,..,0.8568977,1.064757,1.107087
Costa Rica,0.6915372,0.508276,0.6384025,0.677918,0.5774182,0.6820255,0.6614283,0.6088256,0.4694642,0.4522929,0.7615439
Cote d'Ivoire,-1.583894,-1.405808,-1.263461,-1.048724,-1.037161,-0.8325459,-0.9075593,-1.090237,-0.8986894,-1.026046,-0.9764128
Croatia,0.6084636,0.6237471,0.6068915,0.6426679,0.6191124,0.590728,0.6637695,0.6920319,0.8028065,0.6946999,0.6074048
Cuba,0.3492924,0.2803821,0.3072483,0.3705646,0.544822,0.6441017,0.6853639,0.6470563,0.6489246,0.6031231,0.5962209
Cyprus,0.4524448,0.6079845,0.6351261,0.5633472,0.5518821,0.5508665,0.6042547,0.5378655,0.491743,0.5573699,0.2918284
Czech Republic,0.9892337,1.109118,1.054106,1.084779,0.9899905,0.9791891,0.9761155,1.000036,1.031982,0.9438875,0.9244586
Denmark,1.040961,1.100293,0.9149107,0.9592335,0.9517797,0.8976498,0.8679155,0.8684149,0.9462506,0.9956252,0.9430326
Djibouti,0.2534813,0.1777032,0.1606192,-0.1021875,-0.7702323,-0.4435316,-0.6264004,-0.7368587,-0.1376155,-0.3511495,-0.3183765
Dominica,0.9031178,1.139159,0.9805855,1.119856,1.057178,1.077941,1.002438,1.198149,1.096157,1.067457,1.346246
Dominican Republic,-0.044954,-0.0004819,0.2523668,0.2074287,0.1459345,0.2367064,0.252106,0.1605885,0.0239203,0.0053069,0.1674334
Ecuador,-0.5866745,-0.6865575,-0.5703065,-0.1786567,-0.0185332,-0.1439559,-0.085358,-0.0748539,-0.0892777,-0.2329569,-0.3646331
"Egypt, Arab Rep.",-0.8984183,-1.437057,-1.43633,-1.638831,-1.631177,-1.496646,-1.437697,-1.424527,-1.180049,-1.114192,-1.207361
El Salvador,0.0588422,0.1110012,0.234584,-0.0336589,-0.02459,-0.0169974,-0.0992914,-0.2600434,-0.3876885,-0.1064181,-0.024204
Equatorial Guinea,0.2361282,0.1503438,0.2327034,0.1203552,-0.3741466,-0.2053524,-0.1408686,-0.1704531,-0.0923802,-0.1562198,-0.1922405
Eritrea,-0.8755928,-0.7664044,-0.7021973,-0.7723721,-0.8058726,-0.8767513,-0.6569121,-0.729676,-0.6058792,-0.6984926,-0.9844248
Estonia,0.661367,0.6110413,0.6364652,0.7482154,0.7802579,0.6209198,0.6739078,0.6497754,0.5873927,0.6332563,0.7101202
Eswatini,-0.0760727,-0.4797358,-0.4076923,-0.4319111,-0.5005597,-0.476151,-0.4887168,-0.2670258,-0.3734438,-0.2745529,-0.1187483
Ethiopia,-1.635101,-1.506964,-1.564271,-1.407307,-1.339387,-1.498187,-1.619813,-1.679859,-1.279617,-1.305073,-1.738457
Fiji,-0.1908275,-0.0712882,-0.0677748,-0.0510277,0.5531646,0.5803087,0.917815,0.619655,0.862233,0.7776704,0.7479544
Finland,1.423607,1.393471,1.400765,1.385172,1.282197,1.040587,0.9990865,1.080909,0.908359,0.8516567,0.9446252
